Datum,Betriebszeit,Generierung,Verbrauch
2024/49,27,653,787
2024/50,77,881,690
2024/51,73,870,603
2024/52,84,874,770
2025/01,85,890,790
2025/02,84,891,732
2025/03,96,935,865
2025/04,110,899,910
2025/05,96,793,820
2025/06,110,904,913
2025/07,103,851,889
2025/08,96,888,820
2025/09,101,722,786
2025/10,103,695,788
2025/11,101,733,776
2025/12,83,704,659
2025/13,93,641,747
2025/14,133,515,848
2025/15,126,504,855
2025/16,88,504,852
2025/17,119,504,856
2025/18,90,515,860
2025/19,137,504,855
2025/20,97,520,865
2025/20,106,509,861
2025/21,62,525,868
2025/22,49,498,811
2025/23,39,114,80
2025/24,0,0,0
2025/25,14,144,146
2025/26,6,51,14
2025/27,6,53,15
2025/28,9,67,19
2025/29,9,64,18
2025/30,6,64,17
2025/31,12,58,15
2025/32,7,14,4
2025/33,27,29,10
2025/34,48,41,12
2025/35,72,69,19
2025/36,101,159,40
2025/37,85,153,38
2025/38,154,453,135
2025/39,158,589,222
2025/40,155,575,191
2025/41,166,626,228
2025/42,164,628,210
2025/43,165,885,294
2025/44,168,889,358
2025/45,168,1053,367
